2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BABROD, 42733, 2216900,  Drinking water, 0, 0, 0, 0, 0, 0, 263000, 263000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BABROD, 42733, 2216900,  Education, 0, 0, 0, 0, 0, 0, 1630000, 1630000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BABROD, 42733, 2216900,  Roads, 0, 0, 0, 0, 0, 0, 2936000, 2936000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BABROD, 42733, 2216900,  Rural electrification, 0, 0, 0, 0, 0, 0, 400000, 400000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BABROD, 42733, 2216900,  Sanitation, 0, 0, 0, 0, 0, 0, 1146000, 1146000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BABROD, 42733, 2216900,  Water Conservation, 0, 0, 0, 0, 0, 0, 900000, 900000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BABROD, 42733, 2216900, Total, 0, 0, 0, 0, 0, 0, 7337000, 7337000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BABROD, 42733, 2455358,  Drinking water, 0, 0, 0, 0, 0, 0, 850000, 850000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BABROD, 42733, 2455358,  Roads, 0, 0, 0, 0, 0, 0, 150000, 150000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BABROD, 42733, 2455358,  Sanitation, 0, 0, 0, 0, 0, 0, 750000, 750000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BABROD, 42733, 2455358, Total, 0, 0, 0, 0, 0, 0, 1750000, 1750000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BARAULI, 42734, 2356940,  Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 209000, 209000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BARAULI, 42734, 2356940,  Drinking water, 0, 0, 0, 0, 0, 0, 568000, 568000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BARAULI, 42734, 2356940,  Education, 0, 0, 0, 0, 0, 0, 670000, 670000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BARAULI, 42734, 2356940,  Maintenance of community system, 0, 0, 0, 0, 0, 0, 25000, 25000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BARAULI, 42734, 2356940,  Roads, 0, 0, 0, 0, 0, 0, 8491210, 8491210
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BARAULI, 42734, 2356940,  Rural electrification, 0, 0, 0, 0, 0, 0, 315000, 315000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BARAULI, 42734, 2356940,  Sanitation, 0, 0, 0, 0, 0, 0, 910000, 910000
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BARAULI, 42734, 2356940,  Social forestry and farm forestry, 0, 0, 0, 0, 0, 0, 323800, 323800
2019, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, BARAULI, 42734, 2356940, Total, 0, 0, 0, 0, 0, 0, 11512010, 11512010
