2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, DHANGAWAN-WEST, 131605, 1623723, Roads, 0, 0, 0, 0, 0, 0, 1000500, 1000500
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, DHANGAWAN-WEST, 131605, 1623723, Total, 0, 0, 0, 0, 0, 0, 1000500, 1000500
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, CHHATAPATPAR, 131597, 1623720, Roads, 0, 0, 0, 0, 0, 0, 2239000, 2239000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, CHHATAPATPAR, 131597, 1623720, Total, 0, 0, 0, 0, 0, 0, 2239000, 2239000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, BIJAUDI, 131595, 1623719, Roads, 0, 0, 0, 0, 0, 0, 1248000, 1248000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, BIJAUDI, 131595, 1623719, Total, 0, 0, 0, 0, 0, 0, 1248000, 1248000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, MOHARI, 131639, 1623739, Roads, 0, 0, 0, 0, 0, 0, 749000, 749000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, MOHARI, 131639, 1623739, Total, 0, 0, 0, 0, 0, 0, 749000, 749000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, MAHUDA, 131635, 1623737, Roads, 0, 0, 0, 0, 0, 0, 1009500, 1009500
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, MAHUDA, 131635, 1623737, Total, 0, 0, 0, 0, 0, 0, 1009500, 1009500
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, CHOLANA, 131600, 1623721, Roads, 0, 0, 0, 0, 0, 0, 2245000, 2245000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, CHOLANA, 131600, 1623721, Total, 0, 0, 0, 0, 0, 0, 2245000, 2245000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, KYONTAR, 131630, 1623735, Roads, 0, 0, 0, 0, 0, 0, 1271000, 1271000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, KYONTAR, 131630, 1623735, Total, 0, 0, 0, 0, 0, 0, 1271000, 1271000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, DEOHARA, 131602, 1623722, Roads, 0, 0, 0, 0, 0, 0, 2366125, 2366125
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, DEOHARA, 131602, 1623722, Total, 0, 0, 0, 0, 0, 0, 2366125, 2366125
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, DONGRATOLA, 131608, 1623725, Roads, 0, 0, 0, 0, 0, 0, 1087000, 1087000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, DONGRATOLA, 131608, 1623725, Total, 0, 0, 0, 0, 0, 0, 1087000, 1087000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, DHHODHHIPANI, 131606, 1623724, Roads, 0, 0, 0, 0, 0, 0, 1401750, 1401750
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, DHHODHHIPANI, 131606, 1623724, Total, 0, 0, 0, 0, 0, 0, 1401750, 1401750
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, HARRI, 131616, 1623728, Roads, 0, 0, 0, 0, 0, 0, 1652000, 1652000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, HARRI, 131616, 1623728, Total, 0, 0, 0, 0, 0, 0, 1652000, 1652000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, KADAMSARA, 131620, 1623730, Roads, 0, 0, 0, 0, 0, 0, 932850, 932850
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, KADAMSARA, 131620, 1623730, Total, 0, 0, 0, 0, 0, 0, 932850, 932850
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, DUDHMANIYA, 131609, 1623727, Roads, 0, 0, 0, 0, 0, 0, 948000, 948000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, DUDHMANIYA, 131609, 1623727, Total, 0, 0, 0, 0, 0, 0, 948000, 948000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, NIGAURA, 131641, 1623740, Roads, 0, 0, 0, 0, 0, 0, 796000, 796000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, NIGAURA, 131641, 1623740, Total, 0, 0, 0, 0, 0, 0, 796000, 796000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, SULKHARI, 131660, 1623742, Roads, 0, 0, 0, 0, 0, 0, 898000, 898000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, SULKHARI, 131660, 1623742, Total, 0, 0, 0, 0, 0, 0, 898000, 898000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, PASLA, 131649, 1623741, Roads, 0, 0, 0, 0, 0, 0, 950425, 950425
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, PASLA, 131649, 1623741, Total, 0, 0, 0, 0, 0, 0, 950425, 950425
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, TARADAND, 131662, 1623743, Roads, 0, 0, 0, 0, 0, 0, 2487950, 2487950
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, TARADAND, 131662, 1623743, Total, 0, 0, 0, 0, 0, 0, 2487950, 2487950
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, VENKATNAGAR, 131664, 1623744, Cultural activities, 0, 0, 0, 0, 0, 0, 600000, 600000
2017, MADHYA PRADESH, 23, ANUPPUR, 349, JAITHARI, 4100, VENKATNAGAR, 131664, 1623744, Roads, 0, 0, 0, 0, 0, 0, 1707250, 1707250
