2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Pumao, 273494, Maihua, 273545, 1963801, Roads, 0, 0, 0, 0, 0, 0, 460237, 460237
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Pumao, 273494, Maihua, 273545, 1963801, Total, 0, 0, 0, 0, 0, 0, 760237, 760237
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Chubam, 273572, Ozakho, 273576, 1963875, Animal husbandry, 0, 0, 0, 0, 0, 0, 400000, 400000
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Chubam, 273572, Ozakho, 273576, 1963875, Water Conservation, 0, 0, 0, 0, 0, 0, 558577, 558577
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Chubam, 273572, Ozakho, 273576, 1963875, Total, 0, 0, 0, 0, 0, 0, 958577, 958577
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Chubam, 273572, Chattong, 273577, 2008413, Fisheries, 0, 0, 0, 0, 0, 0, 672822, 672822
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Chubam, 273572, Chattong, 273577, 2008413, Total, 0, 0, 0, 0, 0, 0, 672822, 672822
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Chubam, 273572, Chanu, 273575, 2008279, Drinking water, 0, 0, 0, 0, 0, 0, 783447, 783447
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Chubam, 273572, Chanu, 273575, 2008279, Land improvement, 0, 0, 0, 0, 0, 0, 500000, 500000
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Chubam, 273572, Chanu, 273575, 2008279, Social welfare, 0, 0, 0, 0, 0, 0, 1000000, 1000000
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Chubam, 273572, Chanu, 273575, 2008279, Total, 0, 0, 0, 0, 0, 0, 2283447, 2283447
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Chubam, 273572, Longsom, 273574, 2008566, Agriculture, 0, 0, 0, 0, 0, 0, 284814, 284814
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Chubam, 273572, Longsom, 273574, 2008566, Drinking water, 0, 0, 0, 0, 0, 0, 500000, 500000
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Chubam, 273572, Longsom, 273574, 2008566, Fisheries, 0, 0, 0, 0, 0, 0, 500000, 500000
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Chubam, 273572, Longsom, 273574, 2008566, Markets and fairs, 0, 0, 0, 0, 0, 0, 500000, 500000
2018, ARUNACHAL PRADESH, 12, LONGDING, 262016, Chubam, 273572, Longsom, 273574, 2008566, Total, 0, 0, 0, 0, 0, 0, 1784814, 1784814
2018, ARUNACHAL PRADESH, 12, LOWER SUBANSIRI, 227, HIJA, 2800, SUKUNG SUBU, 102916, 1638617, Sanitation, 0, 0, 0, 0, 0, 0, 200000, 200000
2018, ARUNACHAL PRADESH, 12, LOWER SUBANSIRI, 227, HIJA, 2800, SUKUNG SUBU, 102916, 1638617, Total, 0, 0, 0, 0, 0, 0, 200000, 200000
2018, ARUNACHAL PRADESH, 12, LOWER SUBANSIRI, 227, HIJA, 2800, HAJ LEYU, 102904, 1642579, Drinking water, 0, 0, 0, 0, 0, 0, 500000, 500000
2018, ARUNACHAL PRADESH, 12, LOWER SUBANSIRI, 227, HIJA, 2800, HAJ LEYU, 102904, 1642579, Total, 0, 0, 0, 0, 0, 0, 500000, 500000
2018, ARUNACHAL PRADESH, 12, LOWER SUBANSIRI, 227, HIJA, 2800, SIIPI LEYU, 102914, 1638799, Drinking water, 0, 0, 0, 0, 0, 0, 200000, 200000
2018, ARUNACHAL PRADESH, 12, LOWER SUBANSIRI, 227, HIJA, 2800, SIIPI LEYU, 102914, 1638799, Total, 0, 0, 0, 0, 0, 0, 200000, 200000
2018, ARUNACHAL PRADESH, 12, LOWER SUBANSIRI, 227, HIJA, 2800, NEMPI PADA, 102908, 1659163, Social welfare, 0, 0, 0, 0, 0, 0, 800000, 800000
2018, ARUNACHAL PRADESH, 12, LOWER SUBANSIRI, 227, HIJA, 2800, NEMPI PADA, 102908, 1659163, Total, 0, 0, 0, 0, 0, 0, 800000, 800000
2018, ARUNACHAL PRADESH, 12, LOWER SUBANSIRI, 227, HIJA, 2800, BUGYANG SUBU, 102901, 1638575, Sanitation, 0, 0, 0, 0, 0, 0, 200000, 200000
2018, ARUNACHAL PRADESH, 12, LOWER SUBANSIRI, 227, HIJA, 2800, BUGYANG SUBU, 102901, 1638575, Total, 0, 0, 0, 0, 0, 0, 200000, 200000
2018, ARUNACHAL PRADESH, 12, NAMSAI, 274256, CHOWKHAM, 2779, CHONGKHAM HQ, 102617, 1893389, Maintenance of community system, 0, 0, 0, 0, 0, 0, 1012884, 1012884
2018, ARUNACHAL PRADESH, 12, NAMSAI, 274256, CHOWKHAM, 2779, CHONGKHAM HQ, 102617, 1893389, Social welfare, 0, 0, 0, 0, 0, 0, 1005659, 1005659
